exp_strain,exp_stress
0.023270832,370.6004709
0.023343065,371.2866784
0.023414888,371.9838359
0.02348709,372.6911933
0.023559338,373.3843542
0.023631592,374.0701472
0.023704226,374.7556968
0.023776865,375.4556685
0.023849551,376.1518878
0.023922992,376.8477195
0.023996438,377.532553
0.02406989,378.2209122
0.024143763,378.9053784
0.024217267,379.56901
0.02429111,380.2532833
0.024365374,380.940922
0.024438478,381.6293531
0.024511962,382.3025675
0.024585493,382.9870019
0.024658572,383.6637974
0.024731322,384.3306411
0.024804035,384.9860632
0.024876755,385.6418394
0.024949479,386.3151985
0.025022625,386.9706132
0.025095777,387.6223012
0.02516931,388.2809968
0.025242472,388.939284
0.025316432,389.6116655
0.025390356,390.273536
0.025464327,390.962931
0.02553872,391.6457126
0.025613495,392.313742
0.025687858,392.974582
0.025762643,393.6424036
0.025837434,394.3033261
0.025912606,394.9599203
0.025987409,395.6065956
0.026062217,396.2418473
0.02613703,396.8634139
0.026211057,397.477953
0.026285464,398.1026615
0.026359918,398.7308779
0.026434337,399.3486005
0.026508385,399.9663769
0.026582439,400.5944686
0.026656456,401.2048273
0.026730939,401.8253162
0.026805009,402.4463289
0.02687946,403.0738815
0.026953542,403.6942481
0.027028422,404.2970043
0.02710289,404.9030018
0.027177364,405.5233808
0.027251885,406.1395749
0.027326787,406.7487349
0.027401278,407.3548032
0.027475774,407.9603245
0.027550317,408.5621162
0.027624824,409.157048
0.027699378,409.7622689
0.027773897,410.3678643
0.02784842,410.9765295
0.027923786,411.5915361
0.027999115,412.1965182
0.028074868,412.7935482
0.028150626,413.4049453
0.028226391,414.016245
0.028302955,414.6235029
0.028379944,415.2304893
0.028456897,415.8337802
0.028533898,416.4301794
0.028611281,417.0331008
0.02868867,417.6183075
0.028765688,418.2144161
0.028842671,418.8032194
0.028920119,419.3881212
0.028997114,419.9731206
0.029074951,420.5685097
0.029151581,421.143092
0.029228593,421.7241943
0.029306072,422.2874021
0.029383096,422.8511636
0.029459749,423.4073198
0.029536827,423.9744912
0.029613492,424.5588968
0.029690163,425.118389
0.02976684,425.6886196
0.029843146,426.2309451
0.029920211,426.7863956
0.029996906,427.331992
0.030074025,427.9012276
0.030150731,428.4606268
0.030227443,429.0267004
0.030304538,429.5645596
0.030381681,430.0878826
0.030458034,430.6114627
0.030534351,431.1178428
0.030610296,431.6522553
0.030686247,432.1861308
0.030762623,432.7201897
0.030838963,433.2366014
0.030915728,433.7631135
0.030992121,434.2721276
0.031068898,434.7808948
0.031145681,435.2967882
0.031222469,435.8301692
0.031299264,436.3526505
0.031376064,436.871893
0.03145329,437.3728488
0.031530479,437.8813975
0.031607297,438.3787684
0.031684121,438.8589443
0.031761371,439.3456117
0.031838207,439.8359854
0.031915048,440.3298807
0.031991896,440.798933
0.03206875,441.2926679
0.032146029,441.7757829
0.032222894,442.272507
0.032300143,442.7554799
0.03237744,443.2415046
0.032454701,443.7450177
0.03253243,444.2486924
0.032610921,444.7550969
0.032689419,445.2542179
0.032767922,445.7712497
0.03284723,446.2630981
0.032926586,446.7476473
0.033005906,447.2285347
0.033086031,447.7058348
0.033165784,448.1832221
0.033245963,448.6320111
0.033326108,449.0910823
0.03340588,449.5435006
0.033486457,449.9959311
0.033566999,450.4316701
0.033647589,450.8942822
0.033728606,451.3566242
0.033809588,451.8099164
0.033891417,452.2582553
0.033973211,452.7065338
0.034055432,453.1725138
0.034137282,453.5981503
0.034219096,454.0327144
0.034300959,454.4806575
0.034382786,454.9150661
0.034464662,455.3538695
0.034546503,455.7611794
0.034627972,456.1730796
0.034709069,456.5850796
0.03478933,456.9839228
0.034870019,457.3780143
0.034949914,457.7903578
0.035030574,458.1888169
0.035111282,458.5961627
0.035191618,459.0305373
0.035272339,459.4377377
0.035353025,459.8538597
0.03543456,460.282981
0.035515301,460.6899633
0.035596469,461.1235953
0.035678024,461.5435191
0.035759163,461.9545924
0.035840352,462.3655736
0.035921505,462.7540789
0.036002664,463.1245786
0.036084252,463.5037843
0.036165466,463.8920646
0.036245845,464.2582521
0.036326651,464.6465921
0.036407844,465.0122753
0.036488284,465.3782462
0.03656911,465.7619018
0.036650322,466.1453124
0.036731962,466.5060536
0.036813188,466.871407
0.03689404,467.2234319
0.03697532,467.5841561
0.037056987,467.9535966
0.037138661,468.3319286
0.037221143,468.7098167
0.03730321,469.0878341
0.037386127,469.4519532
0.037468207,469.8119244
0.037551139,470.1893421
0.037634034,470.5622337
0.037717781,470.9346594
0.037801915,471.3068371
0.037886056,471.6834212
0.037971049,472.050586
0.038056006,472.4087517
0.038141393,472.7800736
0.038226788,473.1289545
0.03831257,473.4910102
0.038398359,473.8440501
0.038484155,474.1746573
0.038570001,474.5320166
0.038655432,474.8582024
0.038740828,475.1798738
0.038825894,475.4971727
